boite,ligne,colonne,fruit,date_ponte,date_comptage,entree1,entree2,nb_oeufs,compteur,test
P171,1,1,Kiwi,16/08/19,20/08/19,19,19,19,JL,OK
P171,1,2,Cassis,16/08/19,20/08/19,20,20,20,JL,OK
P171,1,3,Figue ,16/08/19,20/08/19,23,23,23,JL,OK
P171,1,4,Tomate ,16/08/19,20/08/19,6,6,6,JL,OK
P171,2,1,Fraise,16/08/19,20/08/19,0,0,0,JL,OK
P171,2,2,Cerise,16/08/19,20/08/19,20,20,20,JL,OK
P171,2,3,Mure,16/08/19,20/08/19,10,10,10,JL,OK
P171,2,4,Cranberry ,16/08/19,20/08/19,2,2,2,JL,OK
P171,3,1,Eglantine ,16/08/19,20/08/19,2,2,2,JL,OK
P171,3,2,Raisin ,16/08/19,20/08/19,7,7,7,JL,OK
P171,3,3,Framboise ,16/08/19,20/08/19,3,3,3,JL,OK
P171,3,4,Abricot,16/08/19,20/08/19,1,1,1,JL,OK
P172,1,1,Cassis,16/08/19,20/08/19,18,18,18,JL,OK
P172,1,2,Cranberry ,16/08/19,20/08/19,0,0,0,JL,OK
P172,1,3,Cerise,16/08/19,20/08/19,16,16,16,JL,OK
P172,1,4,Fraise,16/08/19,20/08/19,0,0,0,JL,OK
P172,2,1,Mure,16/08/19,20/08/19,15,15,15,JL,OK
P172,2,2,Eglantine ,16/08/19,20/08/19,4,4,4,JL,OK
P172,2,3,Abricot,16/08/19,20/08/19,3,3,3,JL,OK
P172,2,4,Framboise ,16/08/19,20/08/19,2,2,2,JL,OK
P172,3,1,Kiwi,16/08/19,20/08/19,14,14,14,JL,OK
P172,3,2,Figue ,16/08/19,20/08/19,22,22,22,JL,OK
P172,3,3,Tomate ,16/08/19,20/08/19,7,7,7,JL,OK
P172,3,4,Raisin ,16/08/19,20/08/19,0,0,0,JL,OK
P173,1,1,Figue ,16/08/19,20/08/19,0,0,0,JL,OK
P173,1,2,Tomate ,16/08/19,20/08/19,0,0,0,JL,OK
P173,1,3,Cassis,16/08/19,20/08/19,6,6,6,JL,OK
P173,1,4,Eglantine ,16/08/19,20/08/19,0,0,0,JL,OK
P173,2,1,Abricot,16/08/19,20/08/19,0,0,0,JL,OK
P173,2,2,Mure,16/08/19,20/08/19,0,0,0,JL,OK
P173,2,3,Cranberry ,16/08/19,20/08/19,0,0,0,JL,OK
P173,2,4,Raisin ,16/08/19,20/08/19,1,1,1,JL,OK
P173,3,1,Framboise ,16/08/19,20/08/19,8,8,8,JL,OK
P173,3,2,Kiwi,16/08/19,20/08/19,0,0,0,JL,OK
P173,3,3,Fraise,16/08/19,20/08/19,3,3,3,JL,OK
P173,3,4,Cerise,16/08/19,20/08/19,0,0,0,JL,OK
P174,1,1,Mure,16/08/19,20/08/19,25,25,25,JL,OK
P174,1,2,Cerise,16/08/19,20/08/19,7,7,7,JL,OK
P174,1,3,Eglantine ,16/08/19,20/08/19,2,2,2,JL,OK
P174,1,4,Figue ,16/08/19,20/08/19,1,1,1,JL,OK
P174,2,1,Raisin ,16/08/19,20/08/19,3,3,3,JL,OK
P174,2,2,Tomate ,16/08/19,20/08/19,1,1,1,JL,OK
P174,2,3,Cassis,16/08/19,20/08/19,0,0,0,JL,OK
P174,2,4,Abricot,16/08/19,20/08/19,0,0,0,JL,OK
P174,3,1,Framboise ,16/08/19,20/08/19,4,4,4,JL,OK
P174,3,2,Fraise,16/08/19,20/08/19,0,0,0,JL,OK
P174,3,3,Cranberry ,16/08/19,20/08/19,0,0,0,JL,OK
P174,3,4,Kiwi,16/08/19,20/08/19,15,15,15,JL,OK
P175,1,1,Eglantine ,16/08/19,20/08/19,15,15,15,JL,OK
P175,1,2,Tomate ,16/08/19,20/08/19,28,28,28,JL,OK
P175,1,3,Fraise,16/08/19,20/08/19,1,1,1,JL,OK
P175,1,4,Cranberry ,16/08/19,20/08/19,4,4,4,JL,OK
P175,2,1,Abricot,16/08/19,20/08/19,10,10,10,JL,OK
P175,2,2,Figue ,16/08/19,20/08/19,3,3,3,JL,OK
P175,2,3,Cerise,16/08/19,20/08/19,5,5,5,JL,OK
P175,2,4,Raisin ,16/08/19,20/08/19,1,1,1,JL,OK
P175,3,1,Framboise ,16/08/19,20/08/19,27,27,27,JL,OK
P175,3,2,Cassis,16/08/19,20/08/19,25,25,25,JL,OK
P175,3,3,Kiwi,16/08/19,20/08/19,5,5,5,JL,OK
P175,3,4,Mure,16/08/19,20/08/19,4,4,4,JL,OK
P176,1,1,Cassis,16/08/19,20/08/19,3,3,5,JL,OK
P176,1,2,Eglantine ,16/08/19,20/08/19,2,2,2,JL,OK
P176,1,3,Tomate ,16/08/19,20/08/19,0,0,0,JL,OK
P176,1,4,Cranberry ,16/08/19,20/08/19,0,0,0,JL,OK
P176,2,1,Mure,16/08/19,20/08/19,14,14,14,JL,OK
P176,2,2,Fraise,16/08/19,20/08/19,7,7,7,JL,OK
P176,2,3,Framboise ,16/08/19,20/08/19,12,12,12,JL,OK
P176,2,4,Kiwi,16/08/19,20/08/19,0,0,0,JL,OK
P176,3,1,Raisin ,16/08/19,20/08/19,2,2,2,JL,OK
P176,3,2,Abricot,16/08/19,20/08/19,1,1,1,JL,OK
P176,3,3,Cerise,16/08/19,20/08/19,22,22,22,JL,OK
P176,3,4,Figue ,16/08/19,20/08/19,0,0,0,JL,OK
P177,1,1,Mure,16/08/19,20/08/19,96,96,96,JL,OK
P177,1,2,Tomate ,16/08/19,20/08/19,33,33,33,JL,OK
P177,1,3,Abricot,16/08/19,20/08/19,31,31,31,JL,OK
P177,1,4,Cerise,16/08/19,20/08/19,16,16,16,JL,OK
P177,2,1,Cranberry ,16/08/19,20/08/19,29,29,29,JL,OK
P177,2,2,Framboise ,16/08/19,20/08/19,22,22,22,JL,OK
P177,2,3,Cassis,16/08/19,20/08/19,13,13,13,JL,OK
P177,2,4,Kiwi,16/08/19,20/08/19,0,0,0,JL,OK
P177,3,1,Figue ,16/08/19,20/08/19,30,30,30,JL,OK
P177,3,2,Raisin ,16/08/19,20/08/19,21,21,21,JL,OK
P177,3,3,Fraise,16/08/19,20/08/19,10,10,10,JL,OK
P177,3,4,Eglantine ,16/08/19,20/08/19,19,19,19,JL,OK
P178,1,1,Framboise ,16/08/19,20/08/19,39,39,39,JL,OK
P178,1,2,Kiwi,16/08/19,20/08/19,32,32,32,JL,OK
P178,1,3,Cerise,16/08/19,20/08/19,32,32,32,JL,OK
P178,1,4,Fraise,16/08/19,20/08/19,20,20,20,JL,OK
P178,2,1,Cranberry ,16/08/19,20/08/19,0,0,0,JL,OK
P178,2,2,Figue ,16/08/19,20/08/19,26,26,26,JL,OK
P178,2,3,Raisin ,16/08/19,20/08/19,46,46,46,JL,OK
P178,2,4,Abricot,16/08/19,20/08/19,3,3,3,JL,OK
P178,3,1,Cassis,16/08/19,20/08/19,7,7,7,JL,OK
P178,3,2,Tomate ,16/08/19,20/08/19,21,21,21,JL,OK
P178,3,3,Mure,16/08/19,20/08/19,35,35,35,JL,OK
P178,3,4,Eglantine ,16/08/19,20/08/19,4,4,4,JL,OK
P179,1,1,Cranberry ,16/08/19,20/08/19,2,2,2,JL,OK
P179,1,2,Eglantine ,16/08/19,20/08/19,1,1,1,JL,OK
P179,1,3,Figue ,16/08/19,20/08/19,15,15,15,JL,OK
P179,1,4,Raisin ,16/08/19,20/08/19,13,13,13,JL,OK
P179,2,1,Kiwi,16/08/19,20/08/19,8,8,8,JL,OK
P179,2,2,Cerise,16/08/19,20/08/19,1,1,1,JL,OK
P179,2,3,Abricot,16/08/19,20/08/19,1,1,1,JL,OK
P179,2,4,Fraise,16/08/19,20/08/19,5,5,5,JL,OK
P179,3,1,Mure,16/08/19,20/08/19,10,10,10,JL,OK
P179,3,2,Tomate ,16/08/19,20/08/19,14,14,14,JL,OK
P179,3,3,Framboise ,16/08/19,20/08/19,26,26,26,JL,OK
P179,3,4,Cassis,16/08/19,20/08/19,27,27,27,JL,OK
P180,1,1,Raisin ,16/08/19,20/08/19,11,11,11,JL,OK
P180,1,2,Framboise ,16/08/19,20/08/19,15,15,15,JL,OK
P180,1,3,Kiwi,16/08/19,20/08/19,7,7,7,JL,OK
P180,1,4,Figue ,16/08/19,20/08/19,1,1,1,JL,OK
P180,2,1,Cranberry ,16/08/19,20/08/19,0,0,0,JL,OK
P180,2,2,Mure,16/08/19,20/08/19,12,12,12,JL,OK
P180,2,3,Eglantine ,16/08/19,20/08/19,6,6,6,JL,OK
P180,2,4,Fraise,16/08/19,20/08/19,7,7,7,JL,OK
P180,3,1,Abricot,16/08/19,20/08/19,1,1,1,JL,OK
P180,3,2,Cassis,16/08/19,20/08/19,14,14,14,JL,OK
P180,3,3,Tomate ,16/08/19,20/08/19,12,12,12,JL,OK
P180,3,4,Cerise,16/08/19,20/08/19,43,43,43,JL,OK
P181,1,1,Framboise ,16/08/19,20/08/19,22,22,22,JL,OK
P181,1,2,Abricot,16/08/19,20/08/19,4,4,4,JL,OK
P181,1,3,Eglantine ,16/08/19,20/08/19,3,3,3,JL,OK
P181,1,4,Tomate ,16/08/19,20/08/19,4,4,4,JL,OK
P181,2,1,Figue ,16/08/19,20/08/19,19,19,19,JL,OK
P181,2,2,Cassis,16/08/19,20/08/19,19,19,19,JL,OK
P181,2,3,Mure,16/08/19,20/08/19,21,21,21,JL,OK
P181,2,4,Cranberry ,16/08/19,20/08/19,27,27,27,JL,OK
P181,3,1,Raisin ,16/08/19,20/08/19,14,14,14,JL,OK
P181,3,2,Cerise,16/08/19,20/08/19,28,28,28,JL,OK
P181,3,3,Fraise,16/08/19,20/08/19,33,33,33,JL,OK
P181,3,4,Kiwi,16/08/19,20/08/19,35,35,35,JL,OK
P183,1,1,Mure,16/08/19,20/08/19,13,13,13,JL,OK
P183,1,2,Fraise,16/08/19,20/08/19,9,9,9,JL,OK
P183,1,3,Cassis,16/08/19,20/08/19,27,27,27,JL,OK
P183,1,4,Tomate ,16/08/19,20/08/19,21,21,21,JL,OK
P183,2,1,Figue ,16/08/19,20/08/19,10,10,10,JL,OK
P183,2,2,Raisin ,16/08/19,20/08/19,7,7,7,JL,OK
P183,2,3,Framboise ,16/08/19,20/08/19,13,13,13,JL,OK
P183,2,4,Abricot,16/08/19,20/08/19,7,7,7,JL,OK
P183,3,1,Cranberry ,16/08/19,20/08/19,6,6,6,JL,OK
P183,3,2,Cerise,16/08/19,20/08/19,5,5,5,JL,OK
P183,3,3,Kiwi,16/08/19,20/08/19,8,8,8,JL,OK
P183,3,4,Eglantine ,16/08/19,20/08/19,9,9,9,JL,OK
P184,1,1,Eglantine ,16/08/19,20/08/19,8,8,8,JL,OK
P184,1,2,Cranberry ,16/08/19,20/08/19,10,10,10,JL,OK
P184,1,3,Cassis,16/08/19,20/08/19,19,19,19,JL,OK
P184,1,4,Fraise,16/08/19,20/08/19,4,4,4,JL,OK
P184,2,1,Cerise,16/08/19,20/08/19,20,20,20,JL,OK
P184,2,2,Raisin ,16/08/19,20/08/19,7,7,7,JL,OK
P184,2,3,Mure,16/08/19,20/08/19,9,9,9,JL,OK
P184,2,4,Kiwi,16/08/19,20/08/19,4,4,4,JL,OK
P184,3,1,Framboise ,16/08/19,20/08/19,23,23,23,JL,OK
P184,3,2,Tomate ,16/08/19,20/08/19,8,8,8,JL,OK
P184,3,3,Abricot,16/08/19,20/08/19,9,9,9,JL,OK
P184,3,4,Figue ,16/08/19,20/08/19,31,31,31,JL,OK
P185,1,1,Cerise,16/08/19,20/08/19,19,19,19,JL,OK
P185,1,2,Fraise,16/08/19,20/08/19,0,0,0,JL,OK
P185,1,3,Tomate ,16/08/19,20/08/19,0,0,0,JL,OK
P185,1,4,Eglantine ,16/08/19,20/08/19,0,0,0,JL,OK
P185,2,1,Figue ,16/08/19,20/08/19,16,16,16,JL,OK
P185,2,2,Abricot,16/08/19,20/08/19,0,0,0,JL,OK
P185,2,3,Cassis,16/08/19,20/08/19,20,20,20,JL,OK
P185,2,4,Mure,16/08/19,20/08/19,0,0,0,JL,OK
P185,3,1,Framboise ,16/08/19,20/08/19,1,1,1,JL,OK
P185,3,2,Raisin ,16/08/19,20/08/19,0,0,0,JL,OK
P185,3,3,Kiwi,16/08/19,20/08/19,6,6,6,JL,OK
P185,3,4,Cranberry ,16/08/19,20/08/19,0,0,0,JL,OK
P186,1,1,Tomate ,16/08/19,20/08/19,9,9,9,JL,OK
P186,1,2,Cranberry ,16/08/19,20/08/19,5,5,5,JL,OK
P186,1,3,Figue ,16/08/19,20/08/19,29,29,29,JL,OK
P186,1,4,Eglantine ,16/08/19,20/08/19,0,0,0,JL,OK
P186,2,1,Framboise ,16/08/19,20/08/19,19,19,19,JL,OK
P186,2,2,Mure,16/08/19,20/08/19,14,14,14,JL,OK
P186,2,3,Cassis,16/08/19,20/08/19,22,22,22,JL,OK
P186,2,4,Cerise,16/08/19,20/08/19,30,30,30,JL,OK
P186,3,1,Kiwi,16/08/19,20/08/19,0,0,0,JL,OK
P186,3,2,Abricot,16/08/19,20/08/19,4,4,4,JL,OK
P186,3,3,Fraise,16/08/19,20/08/19,7,7,7,JL,OK
P186,3,4,Raisin ,16/08/19,20/08/19,3,3,3,JL,OK
P187,1,1,Figue ,16/08/19,20/08/19,31,31,31,JL,OK
P187,1,2,Abricot,16/08/19,20/08/19,8,8,8,JL,OK
P187,1,3,Fraise,16/08/19,20/08/19,10,10,10,JL,OK
P187,1,4,Cassis,16/08/19,20/08/19,11,11,11,JL,OK
P187,2,1,Raisin ,16/08/19,20/08/19,8,8,8,JL,OK
P187,2,2,Kiwi,16/08/19,20/08/19,5,5,5,JL,OK
P187,2,3,Cranberry ,16/08/19,20/08/19,2,2,2,JL,OK
P187,2,4,Tomate ,16/08/19,20/08/19,6,6,6,JL,OK
P187,3,1,Mure,16/08/19,20/08/19,36,36,36,JL,OK
P187,3,2,Framboise ,16/08/19,20/08/19,7,7,7,JL,OK
P187,3,3,Cerise,16/08/19,20/08/19,23,23,23,JL,OK
P187,3,4,Eglantine ,16/08/19,20/08/19,9,9,9,JL,OK
P188,1,1,Cranberry ,16/08/19,20/08/19,15,15,15,JL,OK
P188,1,2,Eglantine ,16/08/19,20/08/19,16,16,16,JL,OK
P188,1,3,Framboise ,16/08/19,20/08/19,29,29,29,JL,OK
P188,1,4,Mure,16/08/19,20/08/19,81,81,81,JL,OK
P188,2,1,Figue ,16/08/19,20/08/19,2,2,2,JL,OK
P188,2,2,Cassis,16/08/19,20/08/19,21,21,21,JL,OK
P188,2,3,Abricot,16/08/19,20/08/19,10,10,10,JL,OK
P188,2,4,Fraise,16/08/19,20/08/19,15,15,15,JL,OK
P188,3,1,Cerise,16/08/19,20/08/19,41,41,41,JL,OK
P188,3,2,Kiwi,16/08/19,20/08/19,10,10,10,JL,OK
P188,3,3,Raisin ,16/08/19,20/08/19,21,21,21,JL,OK
P188,3,4,Tomate ,16/08/19,20/08/19,8,8,8,JL,OK
P189,1,1,Cassis,16/08/19,20/08/19,36,36,36,JL,OK
P189,1,2,Kiwi,16/08/19,20/08/19,4,4,4,JL,OK
P189,1,3,Abricot,16/08/19,20/08/19,13,13,13,JL,OK
P189,1,4,Framboise ,16/08/19,20/08/19,1,1,1,JL,OK
P189,2,1,Eglantine ,16/08/19,20/08/19,24,24,24,JL,OK
P189,2,2,Mure,16/08/19,20/08/19,8,8,8,JL,OK
P189,2,3,Cranberry ,16/08/19,20/08/19,3,3,3,JL,OK
P189,2,4,Fraise,16/08/19,20/08/19,1,1,1,JL,OK
P189,3,1,Raisin ,16/08/19,20/08/19,24,24,24,JL,OK
P189,3,2,Tomate ,16/08/19,20/08/19,16,16,16,JL,OK
P189,3,3,Figue ,16/08/19,20/08/19,11,11,11,JL,OK
P189,3,4,Cerise,16/08/19,20/08/19,5,5,5,JL,OK
P190,1,1,Kiwi,16/08/19,20/08/19,20,20,20,JL,OK
P190,1,2,Cassis,16/08/19,20/08/19,17,17,17,JL,OK
P190,1,3,Cranberry ,16/08/19,20/08/19,4,4,4,JL,OK
P190,1,4,Framboise ,16/08/19,20/08/19,1,1,1,JL,OK
P190,2,1,Abricot,16/08/19,20/08/19,6,6,6,JL,OK
P190,2,2,Fraise,16/08/19,20/08/19,19,19,19,JL,OK
P190,2,3,Cerise,16/08/19,20/08/19,2,2,2,JL,OK
P190,2,4,Figue ,16/08/19,20/08/19,3,3,3,JL,OK
P190,3,1,Tomate ,16/08/19,20/08/19,11,11,11,JL,OK
P190,3,2,Raisin ,16/08/19,20/08/19,16,16,16,JL,OK
P190,3,3,Eglantine ,16/08/19,20/08/19,2,2,2,JL,OK
P190,3,4,Mure,16/08/19,20/08/19,2,2,2,JL,OK
P191,1,1,Mure,16/08/19,20/08/19,1,1,1,JL,OK
P191,1,2,Eglantine ,16/08/19,20/08/19,0,0,0,JL,OK
P191,1,3,Cerise,16/08/19,20/08/19,0,0,0,JL,OK
P191,1,4,Tomate ,16/08/19,20/08/19,1,1,1,JL,OK
P191,2,1,Cassis,16/08/19,20/08/19,0,0,0,JL,OK
P191,2,2,Fraise,16/08/19,20/08/19,0,0,0,JL,OK
P191,2,3,Abricot,16/08/19,20/08/19,0,0,0,JL,OK
P191,2,4,Kiwi,16/08/19,20/08/19,0,0,0,JL,OK
P191,3,1,Framboise ,16/08/19,20/08/19,9,9,9,JL,OK
P191,3,2,Figue ,16/08/19,20/08/19,0,0,0,JL,OK
P191,3,3,Raisin ,16/08/19,20/08/19,0,0,0,JL,OK
P191,3,4,Cranberry ,16/08/19,20/08/19,5,5,5,JL,OK
